date,egg_old,egg_new
12/27/2021,4,2
12/28/2021,3,0
12/29/2021,2,0
12/30/2021,4,0
12/31/2021,2,1
1/1/2022,5,1
1/2/2022,4,1
1/3/2022,2,1
1/4/2022,5,1
1/5/2022,3,1
1/6/2022,3,1
1/7/2022,4,1
1/8/2022,3,1
1/9/2022,2,1
1/10/2022,5,1
1/11/2022,2,1
1/12/2022,4,1
1/13/2022,1,1
1/14/2022,4,1
1/15/2022,2,1
1/16/2022,1,0
1/17/2022,3,1
1/18/2022,2,1
1/19/2022,1,1
1/20/2022,1,2
1/21/2022,2,2
1/22/2022,0,1
1/23/2022,1,1
1/24/2022,1,2
1/25/2022,1,1
1/26/2022,1,1
1/27/2022,0,2
1/28/2022,2,2
1/29/2022,3,2
1/30/2022,2,2
1/31/2022,5,0
2/1/2022,1,2
2/2/2022,5,2
2/3/2022,3,1
2/4/2022,2,0
2/5/2022,3,1
2/6/2022,5,1
2/7/2022,1,1
2/8/2022,4,1
2/9/2022,1,1
2/10/2022,4,3
2/11/2022,3,2
2/12/2022,4,1
2/13/2022,1,1
2/14/2022,4,1
2/15/2022,2,1
2/16/2022,2,1
2/17/2022,3,2
2/18/2022,3,2
2/19/2022,2,0